Kabupaten/Kota,TOTAL,DAGING,TELUR DAN SUSU,IKAN,Daging_sapi,"Daging_kambing,_domba/biri-biri",Daging_babi,Daging_ayam_ras,Daging_ayam_kampung,Daging_segar_lainnya,Daging_diawetkan_lainnya,"Tetelan,_sandung_lamur",Daging_olahan_matang,"Lainnya_(_hati,_jeroan,_iga,_kaki,_buntut,_kepala,_dsb)",Ayam_matang,Telur_ayam_ras,Telur_ayam_kampung,Telur_itik/telur_itik_manila,"Telur_lainnya_(telur_puyuh,_telur_asin_mentah_maupun_matang,_telur_penyu,_telur_angsa,_dsb)",Susu_cair_pabrik,Susu_kental_manis,Susu_bubuk,Susu_bubuk_bayi,Susu_lainnya_dan_hasil_lain_dari_susu,Ekor_kuning,Tongkol_tuna_cakalang_dencis_ikan_kayu,Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung,_lema/tatare,_banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas,_nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan_segar/basah_lainnya,"Udang,_lobster","Cumi-cumi,_sotong,_gurita","Ketam,_kepiting,_rajungan","Kerang,_siput,_bekicot,_remis",Udang_dan_hewan_air_lainnya_yang_segar_lainnya,Kembung_diawetkan/peda,Tenggiri_diawetkan,Tongkol/tuna/cakalang_diawetkan,Teri_diawetkan,Selar_diawetkan,Sepat_diawetkan,Bandeng_diawetkan,Gabus_diawetkan,"Ikan_dalam_kaleng_(sardencis,_tuna_dalam_kaleng,_dsb)",Ikan_diawetkan_lainnya,"Udang_diawetkan_(ebi,_rebon)","Cumi-cumi,_sotong,_gurita_diawetkan",ang_dan_hewan_air_lainnya_yang_diawetkan,Ikan_matang
Simeulue,22868,2972,4954,14942,517,0,0,768,1103,27,0,19,44,103,391,2079,271,9,18,28,767,847,909,27,710,4297,0,0,0,411,966,1566,294,54,105,100,0,0,0,126,600,51,0,0,12,2043,792,1347,193,71,53,30,0,106,220,87,2,0,4,13,190,4,0,4,1201
Aceh Singkil,23447,2562,4844,16041,210,0,108,1331,153,5,0,0,348,11,396,2425,80,2,17,25,632,693,829,143,133,4822,0,0,0,281,10,836,184,48,698,181,1905,0,0,385,118,11,25,0,20,2384,770,569,55,53,74,21,16,89,366,19,24,0,7,22,666,9,15,109,1249
Aceh Selatan,23642,1811,4098,17733,72,0,0,892,463,13,0,0,44,0,327,2125,266,16,22,55,319,837,402,57,913,5489,0,0,0,346,2622,2862,912,51,52,147,155,0,0,232,656,41,8,42,5,753,490,273,21,34,43,84,52,233,943,231,23,0,0,23,148,116,0,6,640
Aceh Tenggara,25578,5651,4468,15459,617,98,374,2232,1310,135,14,28,335,21,487,2418,177,466,112,0,417,721,126,31,85,1796,0,0,0,29,75,374,847,82,248,2291,3715,0,0,519,18,0,0,0,0,104,187,152,10,0,13,785,20,286,2275,219,44,26,20,117,510,353,11,28,305
Aceh Timur,20485,2837,3649,13999,669,0,0,1116,479,42,0,0,375,8,148,1922,114,92,61,31,464,167,630,167,931,4234,0,0,0,116,484,1414,444,2580,75,593,11,0,0,168,299,0,0,244,12,578,1201,238,83,19,98,102,6,82,458,107,1,59,0,27,128,12,0,33,93
Aceh Tengah,25053,3862,6536,14655,168,0,0,1901,587,161,0,9,755,0,281,3414,235,59,9,40,534,976,1257,12,14,2065,0,0,0,2,60,1227,91,3871,71,2922,717,0,0,175,42,0,0,96,0,375,1047,156,0,11,7,31,4,111,360,55,26,11,7,35,577,24,11,33,435
Aceh Barat,29643,4614,5385,19644,144,0,0,1391,1019,448,63,40,141,10,1358,2724,328,92,199,81,330,681,927,23,249,6856,0,0,0,227,260,2717,351,612,754,54,348,0,0,392,1012,0,22,225,4,1560,1072,307,81,261,340,233,8,216,414,14,0,2,63,30,192,202,1,17,797
Aceh Besar,34219,4510,6915,22794,1136,83,0,2067,520,70,0,27,240,36,331,3245,194,218,102,94,242,986,1521,313,376,8028,0,0,0,203,334,2403,1214,753,205,364,58,0,0,193,405,7,6,156,11,895,2541,1475,62,106,505,80,32,449,1139,52,0,16,5,19,144,105,92,8,729
Pidie,24790,2407,6551,15832,290,48,0,831,256,112,106,0,598,5,161,2889,129,136,96,103,206,834,2067,90,213,4853,0,0,0,163,618,1681,1154,1781,58,536,111,0,0,25,127,104,23,61,74,383,2352,404,59,32,191,179,22,54,390,56,6,15,0,3,152,23,0,3,139
Bireuen,25339,2738,4808,17793,410,0,0,845,814,26,0,0,312,0,331,2347,105,78,93,103,167,682,1185,48,94,5362,0,0,0,91,286,1419,1454,2779,107,837,84,0,0,8,78,26,0,43,33,623,2566,233,71,31,140,130,20,148,499,61,20,38,8,11,193,33,0,20,341
Aceh Utara,22417,2355,5066,14996,559,20,0,1140,200,45,0,0,179,0,212,2130,76,105,85,23,309,295,2016,27,522,4226,0,0,0,62,541,1421,535,2738,141,1008,28,0,0,73,283,20,0,11,39,510,1194,256,12,46,180,181,59,141,452,121,9,46,19,13,113,75,0,14,429
Aceh Barat Daya,19818,1636,4001,14181,3,9,0,663,601,272,0,0,18,0,70,2145,162,78,35,61,322,558,640,1,247,4856,0,0,0,167,668,1894,1183,45,163,233,97,0,0,267,169,0,0,50,21,1198,711,503,76,5,70,46,28,134,904,91,11,3,0,2,106,196,0,9,275
Gayo Lues,40819,11841,6905,22073,1969,327,7,4454,3435,583,0,22,593,69,382,3338,75,874,106,54,665,828,878,86,7,2875,0,0,0,7,84,354,263,543,99,3317,4574,0,0,496,44,13,25,65,86,774,830,446,0,33,15,905,0,53,4426,57,5,2,157,115,471,177,56,220,486
